Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Jude Bellingham,LT,18,32,3,8,1256,1517,104,15,31,6,48,331,1124,515,84
Gregor Kobel,G,23,29,0,0,840,1024,4,0,0,0,934,1096,5,0,0
Marco Reus,"LT,AT",32,29,9,13,1003,1242,105,13,21,11,52,195,750,641,114
Manuel Akanji,ZG,26,25,1,0,1819,2013,16,20,11,2,198,963,1182,65,21
Julian Brandt,"LT,AT",25,22,9,8,1022,1324,97,13,20,4,24,178,788,622,50
Axel Witsel,"LT,ZG",32,22,2,0,1217,1305,25,12,23,7,82,423,958,116,11
Erling Haaland,AT,21,21,22,8,331,476,61,0,1,1,31,52,290,365,149
Raphaël Guerreiro,ZG,27,21,4,2,1294,1525,59,19,12,4,44,419,866,452,29
Mats Hummels,ZG,32,20,1,2,1333,1530,14,20,13,1,169,834,841,47,15
Donyell Malen,AT,22,20,5,3,394,542,63,4,5,4,14,71,284,411,92
Mahmoud Dahoud,LT,25,20,2,3,833,1063,52,10,24,8,43,235,745,296,24
Emre Can,"ZG,LT",27,19,5,1,1223,1436,16,20,16,0,104,553,946,160,17
Thomas Meunier,ZG,29,17,2,4,897,1155,31,13,12,4,40,357,623,318,29
Marius Wolf,"ZG,AT",26,15,3,1,554,723,34,13,9,4,17,196,424,268,55
Thorgan Hazard,"AT,ZG",28,14,4,1,613,835,43,8,10,5,18,151,435,411,53
Dan-Axel Zagadou,ZG,22,10,0,0,802,912,10,11,1,1,66,461,541,34,6
Nico Schulz,ZG,28,9,0,2,544,655,15,9,7,5,14,201,394,166,18
Marin Pongračić,ZG,23,9,0,0,545,635,3,13,4,0,78,380,352,9,0
Gio Reyna,LT,18,6,2,1,197,248,20,2,4,1,4,45,130,140,20
Felix Passlack,ZG,23,5,1,0,291,364,7,8,4,1,8,101,223,95,7
Marwin Hitz,G,33,4,0,0,155,177,0,0,0,0,162,190,2,0,0
Youssoufa Moukoko,"AT,LT",16,1,2,0,30,34,5,0,1,0,0,4,35,37,13
Reinier,"AT,LT",19,1,0,0,62,83,3,4,0,1,0,10,67,25,3
Jamie Bynoe-Gittens,AT,16,1,0,0,29,43,3,0,2,1,3,8,27,39,7
Tom Rothe,ZG,16,1,1,0,40,54,1,2,2,0,2,20,29,22,2
Roman Bürki,G,30,1,0,0,16,23,0,0,0,0,14,23,1,0,0
Ansgar Knauff,"AT,LT",19,0,0,0,18,36,3,1,1,1,3,15,19,34,6
Steffen Tigges,"AT,LT",23,0,3,0,22,40,1,1,2,1,3,7,32,25,10
Thomas Delaney,LT,29,0,0,0,8,11,0,0,0,0,0,2,10,2,0
Antonios Papadopoulos,"ZG,LT",21,0,0,0,9,11,0,0,0,0,0,6,7,0,0
Lennard Maloney,ZG,21,0,0,0,13,16,1,1,0,0,2,11,6,2,0
Lion Semić,ZG,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immanuel Pherai,LT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soumaïla Coulibaly,ZG,17,0,,,17410,21052,796,232,236,73,2177,7538,12136,5317,835
Stefan Drljača,G,22,0,,,10982,14551,624,292,229,73,2278,6829,7906,3895,627
