Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Ederson,G,28,35,0,1,1079,1257,2,3,0,0,1049,1295,9,0,0
Rodri,LT,26,34,2,6,2723,2987,92,28,28,11,119,706,1993,592,62
Erling Haaland,AT,22,33,36,8,360,500,72,0,2,1,18,39,290,435,217
Kevin De Bruyne,LT,31,28,7,16,1192,1626,176,3,12,13,13,100,743,1041,100
İlkay Gündoğan,LT,31,27,8,4,1374,1578,90,7,13,10,31,243,975,596,88
Manuel Akanji,ZG,27,24,0,1,1912,2056,23,15,18,3,121,815,1248,176,34
Bernardo Silva,"LT,AT",27,24,4,5,1317,1543,75,11,25,8,31,281,797,707,92
Jack Grealish,AT,26,23,5,7,902,1072,104,10,12,3,20,141,421,772,136
Rúben Dias,ZG,25,22,0,0,1928,2080,15,10,10,1,176,881,1280,83,22
Kyle Walker,ZG,32,22,0,0,1661,1892,25,8,5,0,57,438,1198,370,15
Riyad Mahrez,"AT,LT",31,22,5,10,958,1166,116,8,13,9,14,105,494,802,110
Nathan Aké,ZG,27,22,1,0,1639,1813,24,15,9,2,86,615,1097,256,32
Phil Foden,AT,22,22,11,6,904,1111,99,9,5,2,20,116,433,790,131
John Stones,"ZG,LT",28,21,2,2,1453,1563,16,11,8,4,101,544,942,210,27
João Cancelo,ZG,28,16,2,1,1036,1220,39,16,9,4,20,225,686,461,47
Julián Álvarez,"AT,LT",22,13,9,0,395,503,52,3,13,10,8,46,255,360,89
Aymeric Laporte,ZG,28,11,0,0,892,964,17,6,4,1,85,335,538,166,13
Rico Lewis,"ZG,LT",17,10,0,0,617,675,27,9,5,2,26,133,416,199,12
Stefan Ortega,G,29,3,0,0,145,167,0,0,0,0,132,173,1,0,0
Cole Palmer,"LT,AT",20,2,0,1,167,193,20,0,3,2,6,22,85,143,32
Sergio Gómez,"ZG,LT",21,2,0,1,279,317,7,6,1,2,16,75,198,87,10
Kalvin Phillips,LT,26,2,0,0,289,313,7,3,3,0,16,64,243,49,6
Shea Charles,ZG,18,0,0,0,23,25,0,4,0,0,5,14,18,0,0
Máximo Perrone,LT,19,0,0,0,18,21,1,0,0,0,0,4,12,6,2
Scott Carson,G,36,0,,,23263,26642,1099,185,198,88,2170,7410,14372,8301,1277
Liam Delap,AT,19,0,,,11294,14441,494,305,183,49,3258,8426,6597,3319,561
