Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
David de Gea,G,31,38,0,0,866,1218,5,0,0,0,1116,1297,5,0,0
Bruno Fernandes,"LT,AT",27,37,8,8,1498,2030,219,24,25,19,68,386,966,1078,149
Marcus Rashford,AT,24,32,17,5,627,817,98,7,8,5,22,102,429,704,183
Luke Shaw,ZG,27,30,1,2,1757,2098,67,31,22,2,175,810,1124,475,22
Christian Eriksen,LT,30,25,1,8,1203,1485,71,10,7,5,43,269,914,465,35
Diogo Dalot,ZG,23,24,1,2,1141,1441,52,40,13,1,125,580,714,390,38
Casemiro,LT,30,24,4,3,1114,1439,68,43,35,11,110,531,949,293,24
Lisandro Martínez,ZG,24,24,1,0,1330,1528,18,33,18,3,281,934,829,60,11
Antony,AT,22,23,4,2,651,819,74,9,9,4,12,134,348,609,85
Raphaël Varane,ZG,29,22,0,0,954,1106,17,18,6,0,153,611,631,54,18
Jadon Sancho,"AT,LT",22,21,6,3,647,776,87,7,5,4,16,118,339,536,106
Aaron Wan-Bissaka,ZG,24,16,0,0,706,840,30,20,17,3,75,346,400,286,44
Tyrell Malacia,ZG,22,14,0,0,694,802,19,33,12,1,54,378,392,225,16
Victor Lindelöf,ZG,28,14,0,0,866,930,6,10,9,3,145,550,491,35,5
Fred,LT,29,12,2,2,618,781,59,24,20,3,38,250,483,279,37
Anthony Martial,AT,26,11,6,2,263,328,28,0,2,3,10,31,166,249,49
Scott McTominay,LT,25,10,1,0,355,432,23,16,10,6,69,205,287,132,25
Wout Weghorst,"AT,LT",29,10,0,1,151,207,27,6,1,4,16,45,151,97,26
Harry Maguire,ZG,29,8,0,0,491,577,5,6,1,1,77,353,291,32,9
Marcel Sabitzer,LT,28,7,0,1,237,307,20,3,8,1,18,69,200,110,20
Alejandro Garnacho,"AT,LT",18,5,3,2,150,187,22,2,0,3,3,29,84,196,59
Anthony Elanga,AT,20,5,0,1,95,130,17,0,2,1,4,26,71,100,28
Cristiano Ronaldo,AT,37,4,1,0,121,162,10,1,0,1,8,25,91,106,32
Donny van de Beek,LT,25,2,0,0,46,61,6,0,0,0,1,3,23,46,11
Facundo Pellistri,"AT,LT",20,0,0,0,15,16,1,0,1,0,0,9,7,8,1
Kobbie Mainoo,LT,17,0,0,0,7,8,2,0,0,0,0,2,4,5,3
Rhys Bennett,ZG,18,0,,,16603,20525,1051,343,231,84,2639,8093,10389,6570,1036
Nathan Bishop,G,22,0,,,13767,17675,824,312,226,93,2733,7668,9000,5563,975
